Feature,Importance
categorical__OverTime_Yes,0.8589779172157661
remainder__StockOptionLevel,0.5056817497440527
categorical__MaritalStatus_Single,0.46215473879309066
categorical__IncomeGroup_Low,0.39302810340055855
remainder__EnvironmentSatisfaction,0.3814797775610814
categorical__BusinessTravel_Travel_Frequently,0.37794953224204825
categorical__Department_Sales,0.36949122367875364
categorical__AgeGroup_36-45,0.35346250782274674
remainder__PerformanceRating,0.34431830343840636
categorical__JobRole_Laboratory Technician,0.34351359375784485
remainder__JobSatisfaction,0.3122025302750291
categorical__TenureGroup_3-5 Years,0.27438233537938406
categorical__Department_Research & Development,0.25107157903894955
categorical__JobRole_Research Scientist,0.24128452280443038
remainder__JobInvolvement,0.23465096481941178
remainder__CompaniesWorkedRatio,0.22766214082397812
categorical__JobRole_Sales Representative,0.20145285507318447
remainder__RelationshipSatisfaction,0.19305039543975608
categorical__EarlyCareer_Yes,0.18655962582766522
categorical__EducationField_Marketing,0.18275061093573555
categorical__JobRole_Sales Executive,0.15548543409866883
categorical__IncomeGroup_Medium,0.15262798521365725
categorical__Gender_Male,0.14561052871638583
categorical__MaritalStatus_Married,0.1447567882011478
categorical__AgeGroup_26-35,0.14033571453399138
remainder__CurrentRoleTenureRatio,0.13727620544205993
categorical__EducationField_Technical Degree,0.12378190902454848
remainder__Education,0.11542262271285654
categorical__EducationField_Medical,0.11297889452680572
remainder__YearsWithCurrManager,0.10035755671840128
remainder__YearsSinceLastPromotion,0.09939661799769066
categorical__IncomeGroup_Very High,0.09318472284249132
categorical__JobRole_Manufacturing Director,0.09237084448407315
remainder__NumCompaniesWorked,0.08649099452387324
categorical__EducationField_Other,0.08581340575206697
remainder__JobLevel,0.08571626042033757
categorical__JobRole_Research Director,0.08272108428706758
categorical__TenureGroup_6-10 Years,0.08256879836840261
categorical__TenureGroup_11-20 Years,0.07437388949250315
remainder__YearsAtCompany,0.06284747336239042
remainder__TotalWorkingYears,0.0601791942139556
categorical__AgeGroup_46-55,0.055118292988284696
remainder__YearsInCurrentRole,0.05384694186506905
remainder__DistanceFromHome,0.04301672091934744
categorical__TenureGroup_20+ Years,0.039117622120342414
remainder__WorkLifeBalance,0.037034136124566776
remainder__PromotionGap,0.0365491446914981
categorical__AgeGroup_56+,0.034057038755635996
categorical__JobRole_Human Resources,0.03146737055866414
remainder__PercentSalaryHike,0.023191853166183524
categorical__LongCommute_Yes,0.01479746901503061
categorical__BusinessTravel_Travel_Rarely,0.012416747144031471
categorical__EducationField_Life Sciences,0.011790561753561307
categorical__JobRole_Manager,0.009581548842013095
remainder__TrainingTimesLastYear,0.008807616129912776
remainder__Age,0.005702364606232197
remainder__HourlyRate,0.005555743437723878
remainder__DailyRate,6.592118427060456e-05
remainder__MonthlyIncome,4.2291719550685595e-05
remainder__MonthlyRate,1.755019595133272e-05
